team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WSH,2024,WSH,WSH,Team Level,4on5,67,0.13,0.12,0.14,18533.0,46.76,4.63,2.37,7.23,1.59,14.65,31.53,4.53,4.63,4.53,47.0,15.0,9.0,71.0,6.0,3.0,0.0,2.0,1.0,9.0,41.0,41.0,56.0,2.0,4.0,148.0,41.0,22.0,31.0,42.0,16.0,4.0,1.03,2.08,1.52,3.0,3.0,0.0,71.0,62.0,62.0,26.0,0.54,1.01,1.09,4.08,4.08,4.05,277.66,31.95,23.56,61.8,9.51,166.58,89.59,30.14,31.95,30.14,246.0,137.0,140.0,523.0,30.0,35.0,5.0,60.0,2.0,123.0,133.0,216.0,353.0,10.0,20.0,182.0,17.0,8.0,65.0,273.0,71.0,39.0,7.53,8.09,16.34,5.0,6.0,19.0,523.0,383.0,383.0,11.0,6.13,7.05,7.05,31.03,31.03,29.76
WSH,2024,WSH,WSH,Team Level,5on4,67,0.88,0.86,0.84,17471.0,271.25,36.89,23.5,59.64,9.22,153.51,83.24,33.95,36.89,33.95,245.0,121.0,128.0,494.0,37.0,40.0,3.0,51.0,1.0,117.0,120.0,208.0,329.0,19.0,37.0,179.0,37.0,13.0,60.0,226.0,85.0,55.0,5.89,10.24,20.75,9.0,10.0,18.0,494.0,366.0,366.0,6.0,6.12,8.54,8.54,34.47,34.47,32.77,54.86,5.16,2.39,8.03,1.62,16.85,37.96,5.1,5.16,5.1,60.0,12.0,10.0,82.0,5.0,4.0,1.0,5.0,0.0,13.0,45.0,55.0,67.0,13.0,31.0,150.0,37.0,19.0,28.0,52.0,14.0,6.0,1.5,1.84,1.82,0.0,3.0,2.0,82.0,72.0,72.0,25.0,0.55,0.78,0.78,4.92,4.92,4.89
TBL,2024,TBL,TBL,Team Level,other,67,0.6,0.55,0.55,8888.0,127.9,36.35,9.72,21.26,4.15,67.55,34.96,34.67,36.35,34.67,122.0,52.0,74.0,248.0,38.0,9.0,0.0,21.0,0.0,60.0,46.0,84.0,136.0,4.0,8.0,97.0,20.0,6.0,27.0,78.0,44.0,52.0,3.05,5.64,27.66,4.0,5.0,29.0,248.0,174.0,174.0,9.0,2.84,2.67,2.67,36.52,36.52,35.05,100.38,24.53,7.2,17.7,3.65,54.53,32.39,22.15,24.53,22.15,81.0,59.0,64.0,204.0,22.0,4.0,0.0,12.0,2.0,55.0,45.0,59.0,118.0,3.0,8.0,95.0,25.0,7.0,34.0,70.0,32.0,38.0,2.68,4.23,17.62,3.0,4.0,15.0,204.0,140.0,140.0,12.0,2.07,1.25,1.25,25.35,25.35,23.36
TBL,2024,TBL,TBL,Team Level,all,67,0.54,0.51,0.51,242977.0,2100.21,221.78,147.37,493.45,69.59,1130.87,811.94,212.9,223.72,214.74,1927.0,948.0,1125.0,4000.0,235.0,189.0,24.0,435.0,4.0,922.0,1090.0,1692.0,2640.0,213.0,478.0,1977.0,1218.0,285.0,976.0,2066.0,570.0,239.0,60.63,72.07,89.07,81.0,80.0,74.0,4062.63,2875.0,2909.51,419.0,32.94,40.26,40.54,214.19,215.93,211.14,2030.12,191.74,136.69,500.61,68.93,1094.12,791.9,180.82,190.23,179.46,1902.0,882.0,1085.0,3869.0,177.0,199.0,14.0,417.0,9.0,826.0,1156.0,1725.0,2607.0,229.0,514.0,1923.0,1645.0,320.0,1000.0,2072.0,506.0,206.0,59.0,61.68,71.06,76.0,62.0,39.0,3813.09,2784.0,2757.91,467.0,30.14,39.49,39.53,182.35,181.24,175.67
TBL,2024,TBL,TBL,Team Level,5on5,67,0.51,0.5,0.5,200520.0,1645.18,140.19,108.63,408.29,54.81,891.25,660.82,134.95,142.13,136.79,1498.0,766.0,899.0,3163.0,145.0,141.0,16.0,358.0,4.0,717.0,899.0,1353.0,2119.0,191.0,434.0,1573.0,1154.0,258.0,863.0,1700.0,434.0,130.0,49.74,54.83,35.61,66.0,62.0,17.0,3225.63,2264.0,2298.51,384.0,22.61,27.8,27.92,134.89,136.62,134.34,1661.21,135.9,105.77,425.89,56.16,893.05,662.21,129.35,134.4,127.99,1560.0,719.0,888.0,3167.0,119.0,160.0,8.0,361.0,5.0,666.0,968.0,1441.0,2160.0,206.0,463.0,1540.0,1551.0,293.0,887.0,1743.0,404.0,132.0,49.25,48.61,38.05,65.0,44.0,10.0,3111.09,2279.0,2252.91,423.0,21.96,32.03,32.08,125.78,124.67,122.54
TBL,2024,TBL,TBL,Team Level,4on5,67,0.15,0.16,0.18,16171.0,52.49,4.9,2.97,7.39,1.68,16.6,36.47,4.83,4.9,4.83,56.0,14.0,11.0,81.0,8.0,5.0,1.0,6.0,0.0,9.0,42.0,48.0,62.0,7.0,14.0,155.0,33.0,14.0,33.0,48.0,17.0,5.0,1.5,2.08,1.32,4.0,3.0,1.0,81.0,70.0,70.0,21.0,0.67,0.76,0.76,4.82,4.82,4.79,231.99,28.37,21.82,51.4,7.92,134.14,71.34,26.42,28.37,26.42,218.0,97.0,121.0,436.0,28.0,34.0,5.0,42.0,2.0,102.0,107.0,190.0,287.0,13.0,29.0,133.0,24.0,8.0,51.0,220.0,59.0,36.0,5.73,7.26,15.39,4.0,10.0,14.0,436.0,315.0,315.0,6.0,5.67,6.13,6.13,27.91,27.91,26.49
TBL,2024,TBL,TBL,Team Level,5on4,67,0.93,0.89,0.88,17398.0,274.63,40.33,26.05,56.5,8.95,155.48,79.69,38.45,40.33,38.45,251.0,116.0,141.0,508.0,44.0,34.0,7.0,50.0,0.0,136.0,103.0,207.0,323.0,11.0,22.0,152.0,11.0,7.0,53.0,240.0,75.0,52.0,6.34,9.53,24.46,7.0,10.0,27.0,508.0,367.0,367.0,5.0,6.82,9.04,9.19,37.96,37.96,36.96,36.55,2.93,1.89,5.62,1.2,12.39,25.96,2.9,2.93,2.9,43.0,7.0,12.0,62.0,8.0,1.0,1.0,2.0,0.0,3.0,36.0,35.0,42.0,7.0,14.0,155.0,45.0,12.0,28.0,39.0,11.0,0.0,1.34,1.59,0.0,4.0,4.0,0.0,62.0,50.0,50.0,26.0,0.43,0.07,0.07,3.3,3.3,3.28
OTT,2024,OTT,OTT,Team Level,other,66,0.49,0.5,0.5,10826.0,135.05,32.65,9.53,23.0,4.72,76.42,43.69,30.0,32.65,30.0,124.0,66.0,71.0,261.0,35.0,10.0,2.0,26.0,0.0,66.0,53.0,89.0,155.0,3.0,6.0,127.0,35.0,13.0,31.0,99.0,46.0,45.0,4.08,5.56,23.01,10.0,11.0,14.0,261.0,190.0,190.0,16.0,2.8,3.92,3.92,31.53,31.53,29.39,136.97,33.37,9.56,25.91,4.9,74.49,41.77,30.84,33.37,30.84,127.0,63.0,73.0,263.0,24.0,18.0,0.0,21.0,0.0,64.0,63.0,103.0,166.0,3.0,6.0,110.0,29.0,17.0,32.0,99.0,38.0,53.0,3.83,5.06,24.48,3.0,6.0,15.0,263.0,190.0,190.0,15.0,2.87,4.31,4.36,31.89,31.89,30.29
OTT,2024,OTT,OTT,Team Level,all,66,0.49,0.51,0.51,239511.0,2081.48,198.74,138.71,503.74,70.62,1142.1,816.09,190.23,199.61,191.08,1951.0,919.0,1130.0,4000.0,194.0,192.0,26.0,407.0,6.0,887.0,1184.0,1757.0,2676.0,244.0,536.0,2008.0,1700.0,329.0,863.0,2138.0,512.0,220.0,59.14,62.58,77.02,75.0,62.0,57.0,4016.34,2870.0,2879.38,419.0,31.08,38.05,38.05,191.77,192.3,187.27,2003.94,204.82,132.73,485.43,67.97,1085.53,779.52,191.75,204.65,191.63,1871.0,885.0,1108.0,3864.0,185.0,210.0,28.0,396.0,7.0,830.0,1128.0,1686.0,2571.0,267.0,592.0,1792.0,1608.0,294.0,994.0,2026.0,478.0,252.0,56.4,60.56,87.86,59.0,60.0,66.0,3856.73,2756.0,2753.24,480.0,29.83,43.74,43.74,190.9,190.72,183.01
OTT,2024,OTT,OTT,Team Level,5on5,66,0.5,0.5,0.51,191161.0,1592.04,124.17,98.83,407.8,54.05,871.52,643.63,120.09,125.04,120.95,1481.0,719.0,891.0,3091.0,109.0,139.0,18.0,317.0,6.0,666.0,963.0,1372.0,2091.0,221.0,492.0,1491.0,1617.0,274.0,746.0,1720.0,353.0,127.0,46.04,43.51,34.62,52.0,33.0,24.0,3107.34,2200.0,2209.38,378.0,20.44,27.34,27.76,116.85,117.38,115.75,1546.69,124.62,96.24,397.21,53.08,842.15,628.7,119.72,124.45,119.59,1441.0,701.0,907.0,3049.0,125.0,158.0,23.0,314.0,5.0,624.0,916.0,1316.0,2017.0,236.0,534.0,1387.0,1524.0,241.0,865.0,1668.0,339.0,135.0,45.31,43.02,36.29,54.0,42.0,29.0,3041.73,2142.0,2139.24,425.0,19.95,30.81,31.29,113.29,113.1,111.13
OTT,2024,OTT,OTT,Team Level,4on5,66,0.11,0.14,0.16,17539.0,54.54,5.35,2.53,7.74,1.68,16.35,37.35,5.27,5.35,5.27,56.0,15.0,6.0,77.0,8.0,4.0,2.0,1.0,0.0,8.0,50.0,48.0,63.0,10.0,18.0,181.0,30.0,22.0,24.0,44.0,24.0,3.0,1.27,3.23,0.85,3.0,4.0,1.0,77.0,71.0,71.0,20.0,0.58,0.74,0.74,5.2,5.2,5.18,281.21,43.9,25.13,55.98,8.83,156.97,82.19,38.3,43.9,38.3,270.0,103.0,117.0,490.0,35.0,33.0,5.0,59.0,2.0,131.0,113.0,235.0,338.0,19.0,34.0,138.0,20.0,15.0,58.0,219.0,92.0,62.0,6.08,11.29,26.53,1.0,12.0,22.0,490.0,373.0,373.0,7.0,6.59,8.48,7.96,42.54,42.54,38.42
OTT,2024,OTT,OTT,Team Level,5on4,66,0.93,0.9,0.89,19985.0,299.87,36.57,27.81,65.21,10.18,177.8,91.43,34.86,36.57,34.86,290.0,119.0,162.0,571.0,42.0,39.0,4.0,63.0,0.0,147.0,118.0,248.0,367.0,10.0,20.0,209.0,18.0,20.0,62.0,275.0,89.0,45.0,7.74,10.28,18.55,10.0,14.0,18.0,571.0,409.0,409.0,5.0,7.25,6.05,5.63,38.19,38.19,36.96,39.06,2.92,1.8,6.33,1.17,11.93,26.85,2.89,2.92,2.89,33.0,18.0,11.0,62.0,1.0,1.0,0.0,2.0,0.0,11.0,36.0,32.0,50.0,9.0,18.0,157.0,35.0,21.0,39.0,40.0,9.0,2.0,1.19,1.18,0.56,1.0,0.0,0.0,62.0,51.0,51.0,33.0,0.41,0.14,0.14,3.19,3.19,3.17
CHI,2024,CHI,CHI,Team Level,other,67,0.41,0.5,0.45,7433.0,95.02,22.58,7.3,17.03,3.23,51.8,27.06,19.76,22.58,19.76,87.0,42.0,60.0,189.0,22.0,12.0,3.0,10.0,0.0,45.0,40.0,65.0,107.0,7.0,14.0,91.0,13.0,4.0,18.0,63.0,30.0,36.0,2.42,3.76,16.41,3.0,5.0,14.0,189.0,129.0,129.0,5.0,2.24,4.51,4.51,20.31,20.31,18.4,109.22,32.29,8.05,18.89,3.87,58.32,33.65,30.59,32.29,30.59,114.0,42.0,34.0,190.0,33.0,17.0,3.0,10.0,0.0,58.0,38.0,81.0,123.0,6.0,12.0,81.0,14.0,8.0,24.0,72.0,34.0,50.0,2.95,4.27,25.07,3.0,4.0,26.0,190.0,156.0,156.0,17.0,2.32,3.71,3.89,30.65,30.65,29.6
CHI,2024,CHI,CHI,Team Level,all,67,0.42,0.44,0.43,242922.0,1735.83,163.75,115.27,418.67,57.9,937.41,688.02,156.43,163.92,156.61,1633.0,748.0,921.0,3302.0,181.0,168.0,20.0,302.0,3.0,695.0,1032.0,1452.0,2200.0,219.0,499.0,1618.0,1273.0,348.0,929.0,1772.0,423.0,186.0,49.28,52.61,61.86,73.0,60.0,48.0,3274.43,2381.0,2368.67,474.0,25.53,32.7,32.7,156.58,156.72,152.53,2250.98,224.13,154.99,537.34,75.49,1231.97,876.14,213.35,225.33,214.51,2111.0,990.0,1142.0,4243.0,235.0,250.0,28.0,398.0,4.0,986.0,1228.0,1876.0,2866.0,192.0,433.0,1986.0,1406.0,313.0,947.0,2280.0,568.0,253.0,66.19,72.22,85.71,84.0,87.0,64.0,4274.8,3101.0,3122.93,417.0,34.21,49.29,49.29,208.99,209.9,204.52
CHI,2024,CHI,CHI,Team Level,5on5,67,0.43,0.44,0.44,202416.0,1417.22,115.73,89.94,355.45,47.44,766.15,573.29,112.31,115.91,112.5,1331.0,617.0,784.0,2732.0,126.0,138.0,15.0,259.0,3.0,560.0,862.0,1205.0,1822.0,206.0,470.0,1277.0,1218.0,303.0,827.0,1488.0,345.0,115.0,40.62,43.0,32.11,64.0,45.0,17.0,2704.43,1948.0,1935.67,430.0,18.57,24.94,24.94,109.37,109.51,108.12,1815.72,152.49,119.35,451.33,60.91,993.08,727.85,146.53,153.69,147.68,1688.0,817.0,978.0,3483.0,167.0,194.0,21.0,333.0,4.0,783.0,1024.0,1521.0,2338.0,169.0,384.0,1584.0,1327.0,275.0,833.0,1905.0,444.0,156.0,54.92,56.88,40.69,75.0,68.0,24.0,3514.8,2505.0,2526.94,370.0,24.73,36.19,36.19,141.03,141.94,139.31
CHI,2024,CHI,CHI,Team Level,4on5,67,0.07,0.12,0.13,19267.0,43.07,2.68,2.01,6.27,1.31,14.26,32.48,2.68,2.68,2.68,50.0,9.0,9.0,68.0,1.0,0.0,0.0,3.0,0.0,5.0,50.0,49.0,58.0,1.0,5.0,137.0,29.0,25.0,35.0,49.0,8.0,2.0,1.16,0.96,0.56,0.0,1.0,0.0,68.0,59.0,59.0,33.0,0.47,0.0,0.0,3.14,3.14,3.14,285.25,35.5,25.66,61.32,9.48,167.95,87.08,32.45,35.5,32.45,270.0,117.0,122.0,509.0,29.0,38.0,4.0,53.0,0.0,138.0,129.0,241.0,358.0,7.0,17.0,180.0,26.0,19.0,61.0,267.0,77.0,43.0,7.3,9.33,18.86,5.0,11.0,13.0,509.0,387.0,387.0,6.0,6.73,9.19,9.0,33.23,33.23,31.56
CHI,2024,CHI,CHI,Team Level,5on4,67,0.86,0.84,0.82,13806.0,180.52,22.75,16.02,39.93,5.91,105.2,55.19,21.67,22.75,21.67,165.0,80.0,68.0,313.0,32.0,18.0,2.0,30.0,0.0,85.0,80.0,133.0,213.0,5.0,10.0,113.0,13.0,16.0,49.0,172.0,40.0,33.0,5.09,4.88,12.78,6.0,9.0,17.0,313.0,245.0,245.0,6.0,4.25,3.24,3.24,23.76,23.76,22.87,40.79,3.84,1.94,5.81,1.24,12.62,27.55,3.79,3.84,3.79,39.0,14.0,8.0,61.0,6.0,1.0,0.0,2.0,0.0,7.0,37.0,33.0,47.0,10.0,20.0,141.0,39.0,11.0,29.0,36.0,13.0,4.0,1.02,1.74,1.08,1.0,4.0,1.0,61.0,53.0,53.0,24.0,0.44,0.21,0.21,4.08,4.08,4.05
VGK,2024,VGK,VGK,Team Level,other,67,0.53,0.44,0.45,7007.0,89.99,27.58,6.38,14.14,2.95,48.31,24.63,25.59,27.58,25.59,82.0,42.0,44.0,168.0,28.0,10.0,1.0,13.0,0.0,45.0,28.0,54.0,96.0,1.0,2.0,79.0,19.0,12.0,30.0,47.0,33.0,44.0,2.04,4.39,21.15,3.0,7.0,18.0,168.0,124.0,124.0,16.0,1.94,2.99,2.99,26.52,26.52,24.98,112.56,24.28,8.53,20.06,3.89,65.27,31.97,21.05,24.28,21.05,91.0,63.0,61.0,215.0,14.0,11.0,2.0,18.0,4.0,67.0,40.0,77.0,140.0,1.0,2.0,77.0,16.0,13.0,23.0,76.0,41.0,37.0,3.09,4.92,16.27,3.0,4.0,7.0,215.0,154.0,154.0,9.0,2.61,4.13,4.13,22.76,22.76,20.48
VGK,2024,VGK,VGK,Team Level,all,67,0.54,0.51,0.51,243195.0,2173.61,227.12,145.21,519.09,72.38,1164.43,843.77,213.43,228.68,214.93,2030.0,942.0,1105.0,4077.0,221.0,222.0,31.0,426.0,4.0,982.0,1117.0,1809.0,2751.0,158.0,363.0,1877.0,1255.0,342.0,1058.0,2137.0,551.0,284.0,63.78,68.43,94.91,71.0,80.0,70.0,4116.68,2972.0,2996.12,498.0,32.02,47.84,47.84,211.31,212.72,204.43,2046.29,196.46,136.04,502.99,69.99,1111.77,796.73,184.94,196.63,185.11,1776.0,1038.0,1154.0,3968.0,181.0,226.0,26.0,369.0,6.0,987.0,1045.0,1595.0,2633.0,175.0,393.0,1861.0,1538.0,312.0,1044.0,2076.0,516.0,222.0,60.05,63.99,72.43,66.0,66.0,49.0,3956.23,2814.0,2812.94,482.0,30.05,48.88,48.88,177.63,177.81,171.89
VGK,2024,VGK,VGK,Team Level,5on5,67,0.52,0.51,0.52,209039.0,1813.85,156.28,115.91,452.47,60.53,970.63,731.18,150.18,157.84,151.68,1675.0,812.0,960.0,3447.0,148.0,190.0,27.0,370.0,4.0,816.0,959.0,1527.0,2339.0,147.0,335.0,1546.0,1196.0,308.0,963.0,1871.0,443.0,173.0,55.42,54.92,45.94,63.0,59.0,26.0,3486.68,2487.0,2511.12,460.0,24.09,38.51,38.51,141.86,143.27,140.72,1690.09,144.34,107.34,431.59,58.0,908.98,675.75,137.71,144.51,137.88,1467.0,859.0,976.0,3302.0,133.0,183.0,19.0,318.0,2.0,791.0,899.0,1334.0,2193.0,167.0,375.0,1549.0,1479.0,274.0,954.0,1764.0,409.0,153.0,50.07,51.32,42.96,59.0,48.0,26.0,3290.23,2326.0,2324.95,446.0,22.28,36.62,36.81,129.82,129.99,127.47
VGK,2024,VGK,VGK,Team Level,4on5,67,0.13,0.11,0.13,12964.0,31.62,3.73,2.1,5.02,1.18,10.58,20.39,3.65,3.73,3.65,32.0,11.0,7.0,50.0,5.0,1.0,0.0,1.0,0.0,7.0,29.0,27.0,38.0,3.0,10.0,100.0,31.0,16.0,24.0,27.0,10.0,6.0,0.82,1.23,1.68,2.0,3.0,0.0,50.0,43.0,43.0,19.0,0.48,0.3,0.3,3.91,3.91,3.88,211.17,24.44,18.68,46.61,7.08,127.86,67.34,22.86,24.44,22.86,187.0,105.0,110.0,402.0,31.0,28.0,4.0,31.0,0.0,122.0,80.0,156.0,261.0,2.0,6.0,118.0,10.0,14.0,36.0,210.0,54.0,28.0,6.13,6.26,12.03,3.0,13.0,15.0,402.0,292.0,292.0,1.0,4.81,7.01,6.82,22.42,22.42,21.32
VGK,2024,VGK,VGK,Team Level,5on4,67,0.92,0.89,0.88,14185.0,238.14,39.54,20.82,47.45,7.72,134.9,67.58,34.02,39.54,34.02,241.0,77.0,94.0,412.0,40.0,21.0,3.0,42.0,0.0,114.0,101.0,201.0,278.0,7.0,16.0,152.0,9.0,6.0,41.0,192.0,65.0,61.0,5.5,7.89,26.15,3.0,11.0,26.0,412.0,318.0,318.0,3.0,5.51,6.04,6.04,39.01,39.01,34.86,32.46,3.4,1.49,4.75,1.01,9.66,21.69,3.32,3.4,3.32,31.0,11.0,7.0,49.0,3.0,4.0,1.0,2.0,0.0,7.0,26.0,28.0,39.0,5.0,10.0,117.0,33.0,11.0,31.0,26.0,12.0,4.0,0.75,1.49,1.16,1.0,1.0,1.0,49.0,42.0,42.0,26.0,0.35,1.11,1.11,2.64,2.64,2.61
ANA,2024,ANA,ANA,Team Level,other,67,0.45,0.44,0.44,9508.0,125.22,30.47,8.43,23.02,4.37,64.05,41.67,27.72,30.47,27.72,117.0,55.0,66.0,238.0,30.0,18.0,3.0,19.0,0.0,56.0,49.0,87.0,142.0,5.0,10.0,107.0,27.0,8.0,27.0,86.0,37.0,49.0,3.37,4.72,22.39,9.0,6.0,15.0,238.0,172.0,172.0,13.0,2.44,5.1,5.1,27.81,27.81,25.94,156.17,37.31,10.59,27.67,5.39,83.95,53.09,33.03,37.31,33.03,152.0,66.0,83.0,301.0,30.0,9.0,3.0,31.0,1.0,68.0,79.0,122.0,188.0,3.0,6.0,130.0,32.0,12.0,26.0,111.0,51.0,56.0,4.98,6.12,26.2,3.0,9.0,18.0,301.0,218.0,218.0,12.0,3.21,4.39,4.39,36.13,36.13,32.24
ANA,2024,ANA,ANA,Team Level,all,67,0.44,0.46,0.46,244421.0,2020.17,196.04,131.24,493.14,68.53,1091.34,802.77,185.73,195.01,184.78,1826.0,958.0,1078.0,3862.0,176.0,224.0,22.0,400.0,7.0,850.0,1127.0,1650.0,2608.0,248.0,530.0,1695.0,1565.0,280.0,962.0,2081.0,478.0,225.0,61.28,58.94,75.82,73.0,59.0,44.0,3823.88,2784.0,2766.65,447.0,29.05,46.51,46.51,178.52,177.71,172.54,2377.78,246.58,161.44,566.75,79.76,1288.03,925.45,233.96,247.72,235.1,2154.0,1114.0,1251.0,4519.0,209.0,225.0,29.0,526.0,6.0,1024.0,1278.0,1945.0,3059.0,235.0,506.0,2122.0,1205.0,299.0,909.0,2354.0,628.0,286.0,70.53,78.39,97.65,58.0,77.0,74.0,4564.16,3268.0,3290.09,410.0,36.0,48.7,48.76,233.81,234.85,226.65
ANA,2024,ANA,ANA,Team Level,5on5,67,0.44,0.46,0.46,198941.0,1573.32,127.22,97.0,401.21,53.17,848.99,643.48,122.25,126.19,121.3,1413.0,759.0,875.0,3047.0,124.0,169.0,18.0,329.0,5.0,636.0,909.0,1289.0,2048.0,225.0,481.0,1309.0,1482.0,236.0,857.0,1699.0,345.0,128.0,48.83,42.89,35.5,59.0,47.0,18.0,3008.88,2172.0,2154.65,403.0,20.08,33.54,33.73,113.51,112.69,110.69,1885.79,165.04,121.79,471.73,63.35,1022.75,753.34,159.28,166.17,160.42,1681.0,917.0,1036.0,3634.0,132.0,178.0,17.0,430.0,4.0,818.0,1036.0,1549.0,2466.0,219.0,471.0,1635.0,1132.0,254.0,805.0,1940.0,488.0,170.0,57.19,61.68,46.16,46.0,57.0,29.0,3679.16,2598.0,2620.09,375.0,25.25,35.0,35.41,154.88,155.91,153.4
ANA,2024,ANA,ANA,Team Level,4on5,67,0.12,0.13,0.14,17622.0,48.03,5.64,2.37,7.79,1.79,14.62,31.8,4.78,5.64,4.78,51.0,13.0,14.0,78.0,1.0,8.0,0.0,1.0,0.0,8.0,46.0,50.0,63.0,8.0,16.0,140.0,51.0,21.0,26.0,42.0,13.0,9.0,1.38,1.76,2.5,1.0,0.0,0.0,78.0,64.0,64.0,21.0,0.55,2.21,2.21,3.98,3.98,3.84,292.75,39.64,26.82,60.97,9.43,168.14,90.0,37.11,39.64,37.11,277.0,118.0,126.0,521.0,43.0,38.0,9.0,61.0,1.0,129.0,123.0,234.0,352.0,2.0,2.0,173.0,10.0,8.0,49.0,266.0,75.0,54.0,7.19,8.78,23.66,7.0,10.0,26.0,521.0,395.0,395.0,1.0,7.03,9.32,8.97,37.71,37.71,35.97
ANA,2024,ANA,ANA,Team Level,5on4,67,0.88,0.89,0.87,18350.0,273.6,32.72,23.46,61.12,9.19,163.69,85.82,30.99,32.72,30.99,245.0,131.0,123.0,499.0,21.0,29.0,1.0,51.0,2.0,150.0,123.0,224.0,355.0,10.0,23.0,139.0,5.0,15.0,52.0,254.0,83.0,39.0,7.72,9.57,15.43,4.0,6.0,11.0,499.0,376.0,376.0,10.0,5.99,5.67,5.48,33.23,33.23,32.06,43.06,4.59,2.23,6.38,1.58,13.2,29.02,4.54,4.59,4.54,44.0,13.0,6.0,63.0,4.0,0.0,0.0,4.0,0.0,9.0,40.0,40.0,53.0,11.0,27.0,184.0,31.0,25.0,29.0,37.0,14.0,6.0,1.17,1.8,1.62,2.0,1.0,1.0,63.0,57.0,57.0,22.0,0.51,0.0,0.0,5.1,5.1,5.04
COL,2024,COL,COL,Team Level,other,68,0.54,0.52,0.54,10838.0,157.61,38.0,12.06,27.91,5.47,87.4,48.16,35.46,38.0,35.46,149.0,70.0,69.0,288.0,44.0,16.0,2.0,13.0,1.0,80.0,65.0,105.0,175.0,6.0,12.0,110.0,19.0,16.0,35.0,111.0,53.0,55.0,4.67,6.92,26.42,7.0,6.0,31.0,288.0,219.0,219.0,9.0,3.54,3.94,3.94,37.6,37.6,35.95,133.04,32.41,10.32,24.64,4.69,77.07,39.86,29.92,32.41,29.92,120.0,69.0,82.0,271.0,28.0,20.0,3.0,20.0,1.0,82.0,38.0,92.0,161.0,7.0,14.0,128.0,15.0,13.0,28.0,88.0,49.0,52.0,2.97,5.99,23.45,2.0,5.0,21.0,271.0,189.0,189.0,10.0,3.0,5.91,6.3,29.12,29.12,27.92
COL,2024,COL,COL,Team Level,all,68,0.53,0.54,0.53,246488.0,2171.75,214.52,144.24,529.81,73.63,1203.1,854.7,204.3,215.13,204.89,2009.0,1011.0,1285.0,4305.0,227.0,204.0,28.0,383.0,7.0,972.0,1227.0,1782.0,2793.0,190.0,411.0,1796.0,1270.0,338.0,1029.0,2250.0,542.0,228.0,66.54,66.79,81.19,87.0,69.0,71.0,4316.46,3020.0,3026.94,430.0,32.0,43.89,43.95,202.58,203.14,197.5,1923.85,187.74,129.81,471.06,64.94,1038.96,743.49,180.02,188.02,180.28,1776.0,860.0,1072.0,3708.0,195.0,202.0,25.0,383.0,2.0,818.0,1036.0,1581.0,2441.0,222.0,468.0,2090.0,1304.0,306.0,1045.0,1920.0,508.0,208.0,51.82,63.97,71.96,64.0,66.0,65.0,3705.01,2636.0,2636.95,473.0,29.01,40.16,40.16,176.6,176.93,173.34
